Time, Charge, Current
0,0,2.5
0.1,0.25,2.44
0.2,0.49,2.38
0.3,0.72,2.32
0.4,0.95,2.26
0.5,1.18,2.21
0.6,1.39,2.15
0.7,1.61,2.1
0.8,1.81,2.05
0.9,2.01,2
1,2.21,1.95
1.1,2.4,1.9
1.2,2.59,1.85
1.3,2.77,1.81
1.4,2.95,1.76
1.5,3.13,1.72
1.6,3.3,1.68
1.7,3.46,1.63
1.8,3.62,1.59
1.9,3.78,1.55
2,3.93,1.52
2.1,4.08,1.48
2.2,4.23,1.44
2.3,4.37,1.41
2.4,4.51,1.37
2.5,4.65,1.34
2.6,4.78,1.31
2.7,4.91,1.27
2.8,5.03,1.24
2.9,5.16,1.21
3,5.28,1.18
3.1,5.39,1.15
3.2,5.51,1.12
3.3,5.62,1.1
3.4,5.73,1.07
3.5,5.83,1.04
3.6,5.93,1.02
3.7,6.03,0.99
3.8,6.13,0.97
3.9,6.23,0.94
4,6.32,0.92
4.1,6.41,0.9
4.2,6.5,0.87
4.3,6.59,0.85
4.4,6.67,0.83
4.5,6.75,0.81
4.6,6.83,0.79
4.7,6.91,0.77
4.8,6.99,0.75
4.9,7.06,0.73
5,7.13,0.72
5.1,7.21,0.7
5.2,7.27,0.68
5.3,7.34,0.66
5.4,7.41,0.65
5.5,7.47,0.63
5.6,7.53,0.62
5.7,7.59,0.6
5.8,7.65,0.59
5.9,7.71,0.57
6,7.77,0.56
6.1,7.82,0.54
6.2,7.88,0.53
6.3,7.93,0.52
6.4,7.98,0.5
6.5,8.03,0.49
6.6,8.08,0.48
6.7,8.13,0.47
6.8,8.17,0.46
6.9,8.22,0.45
7,8.26,0.43
7.1,8.31,0.42
7.2,8.35,0.41
7.3,8.39,0.4
7.4,8.43,0.39
7.5,8.47,0.38
7.6,8.5,0.37
7.7,8.54,0.36
7.8,8.58,0.36
7.9,8.61,0.35
8,8.65,0.34
8.1,8.68,0.33
8.2,8.71,0.32
8.3,8.74,0.31
8.4,8.78,0.31
8.5,8.81,0.3
8.6,8.84,0.29
8.7,8.86,0.28
8.8,8.89,0.28
8.9,8.92,0.27
9,8.95,0.26
9.1,8.97,0.26
9.2,9,0.25
9.3,9.02,0.24
9.4,9.05,0.24
9.5,9.07,0.23
9.6,9.09,0.23
9.7,9.12,0.22
9.8,9.14,0.22
9.9,9.16,0.21
10,9.18,0.21
